Сегмент,Количество_попаданий
0,1
1,8
2,7
3,5
4,3
5,6
6,6
7,4
8,7
9,5
10,8
11,9
12,1
13,5
14,4
15,7
16,4
17,6
18,1
19,7
20,6
21,9
22,1
23,6
24,5
25,3
26,7
27,5
28,5
29,4
30,4
31,8
32,4
33,4
34,3
35,6
36,3
37,6
38,6
39,7
40,9
41,4
42,11
43,4
44,1
45,2
46,4
47,3
48,5
49,6
50,6
51,2
52,4
53,2
54,3
55,5
56,7
57,4
58,4
59,5
60,6
61,6
62,5
63,10
64,3
65,7
66,2
67,5
68,3
69,8
70,1
71,6
72,4
73,5
74,4
75,7
76,6
77,8
78,3
79,2
80,8
81,9
82,6
83,8
84,7
85,4
86,7
87,5
88,3
89,4
90,10
91,3
92,3
93,6
94,2
95,2
96,4
97,10
98,7
99,9
100,5
101,5
102,3
103,6
104,9
105,4
106,8
107,6
108,4
109,6
110,4
111,3
112,3
113,5
114,7
115,5
116,5
117,5
118,6
119,8
120,2
121,7
122,6
123,5
124,2
125,4
126,3
127,6
128,4
129,1
130,6
131,3
132,3
133,4
134,3
135,5
136,2
137,6
138,5
139,6
140,7
141,2
142,4
143,1
144,6
145,0
146,11
147,4
148,4
149,3
150,3
151,5
152,6
153,2
154,4
155,9
156,3
157,3
158,5
159,7
160,8
161,7
162,10
163,6
164,5
165,3
166,4
167,9
168,8
169,4
170,9
171,3
172,5
173,1
174,4
175,9
176,3
177,6
178,3
179,4
180,3
181,6
182,4
183,4
184,10
185,4
186,5
187,5
188,5
189,3
190,2
191,6
192,8
193,9
194,6
195,2
196,3
197,6
198,2
199,1
200,6
201,5
202,9
203,4
204,0
205,4
206,1
207,5
208,9
209,4
210,10
211,8
212,8
213,6
214,5
215,6
216,3
217,9
218,7
219,6
220,10
221,8
222,5
223,6
224,7
225,3
226,5
227,1
228,6
229,4
230,4
231,3
232,1
233,5
234,4
235,1
236,2
237,2
238,4
239,3
240,9
241,7
242,5
243,2
244,6
245,5
246,6
247,8
248,5
249,5
250,7
251,7
252,4
253,6
254,6
255,3
256,12
257,7
258,3
259,7
260,5
261,4
262,2
263,2
264,5
265,0
266,2
267,3
268,3
269,2
270,5
271,2
272,11
273,6
274,4
275,4
276,7
277,3
278,3
279,1
280,4
281,0
282,6
283,2
284,8
285,6
286,5
287,2
288,1
289,4
290,4
291,4
292,9
293,5
294,3
295,2
296,9
297,2
298,4
299,6
300,2
301,3
302,6
303,4
304,3
305,9
306,5
307,8
308,6
309,4
310,3
311,2
312,6
313,7
314,9
315,8
316,4
317,4
318,6
319,7
320,8
321,2
322,2
323,3
324,4
325,4
326,9
327,4
328,7
329,2
330,7
331,6
332,4
333,4
334,8
335,7
336,4
337,2
338,3
339,5
340,1
341,8
342,9
343,9
344,7
345,5
346,6
347,3
348,4
349,7
350,4
351,2
352,4
353,4
354,2
355,0
356,5
357,6
358,8
359,6
360,5
361,7
362,3
363,9
364,5
365,2
366,4
367,6
368,4
369,2
370,4
371,1
372,7
373,6
374,3
375,6
376,3
377,3
378,6
379,3
380,4
381,4
382,5
383,5
384,2
385,3
386,2
387,9
388,9
389,6
390,8
391,0
392,6
393,6
394,1
395,3
396,2
397,8
398,4
399,2
400,4
401,2
402,3
403,4
404,9
405,2
406,5
407,13
408,5
409,2
410,5
411,2
412,4
413,4
414,7
415,4
416,8
417,1
418,5
419,6
420,5
421,4
422,5
423,5
424,6
425,8
426,6
427,6
428,6
429,9
430,7
431,6
432,3
433,7
434,4
435,5
436,5
437,3
438,6
439,4
440,4
441,5
442,3
443,4
444,4
445,7
446,5
447,4
448,3
449,3
450,7
451,5
452,2
453,4
454,5
455,3
456,6
457,9
458,7
459,9
460,5
461,3
462,5
463,1
464,3
465,5
466,3
467,5
468,2
469,4
470,2
471,3
472,8
473,4
474,6
475,6
476,7
477,5
478,1
479,8
480,3
481,6
482,7
483,8
484,4
485,8
486,5
487,2
488,4
489,5
490,3
491,7
492,5
493,1
494,3
495,4
496,8
497,6
498,1
499,5
500,5
501,2
502,5
503,8
504,6
505,8
506,0
507,2
508,4
509,4
510,5
511,7
512,6
513,8
514,2
515,7
516,10
517,4
518,2
519,11
520,2
521,1
522,6
523,7
524,5
525,1
526,5
527,2
528,2
529,3
530,5
531,4
532,6
533,5
534,7
535,2
536,11
537,4
538,3
539,7
540,6
541,3
542,3
543,4
544,1
545,8
546,4
547,5
548,4
549,2
550,9
551,4
552,5
553,4
554,1
555,5
556,4
557,5
558,6
559,4
560,4
561,6
562,0
563,5
564,6
565,4
566,4
567,5
568,5
569,4
570,2
571,4
572,9
573,3
574,6
575,14
576,5
577,6
578,4
579,4
580,3
581,4
582,5
583,3
584,3
585,4
586,3
587,6
588,4
589,3
590,2
591,6
592,2
593,2
594,1
595,4
596,4
597,2
598,5
599,8
600,3
601,8
602,5
603,6
604,5
605,3
606,5
607,1
608,5
609,5
610,4
611,8
612,7
613,6
614,6
615,7
616,3
617,6
618,6
619,3
620,3
621,8
622,5
623,7
624,6
625,5
626,5
627,4
628,3
629,3
630,5
631,6
632,4
633,4
634,5
635,5
636,5
637,8
638,2
639,8
640,4
641,1
642,1
643,6
644,5
645,4
646,8
647,4
648,5
649,10
650,8
651,5
652,3
653,6
654,8
655,6
656,9
657,4
658,4
659,1
660,8
661,10
662,8
663,5
664,4
665,2
666,2
667,2
668,3
669,7
670,7
671,7
672,4
673,4
674,2
675,3
676,6
677,5
678,5
679,12
680,10
681,10
682,7
683,6
684,3
685,4
686,7
687,6
688,4
689,4
690,3
691,4
692,4
693,8
694,5
695,5
696,3
697,6
698,6
699,5
700,1
701,6
702,2
703,6
704,4
705,0
706,1
707,5
708,6
709,9
710,6
711,3
712,3
713,3
714,4
715,5
716,6
717,9
718,5
719,4
720,4
721,8
722,12
723,9
724,3
725,10
726,8
727,4
728,4
729,6
730,4
731,3
732,4
733,4
734,8
735,1
736,8
737,2
738,9
739,4
740,5
741,8
742,3
743,2
744,1
745,14
746,5
747,4
748,7
749,2
750,9
751,8
752,7
753,2
754,5
755,3
756,5
757,6
758,1
759,3
760,6
761,3
762,4
763,6
764,3
765,4
766,6
767,8
768,3
769,4
770,8
771,3
772,4
773,7
774,3
775,5
776,9
777,3
778,8
779,10
780,5
781,4
782,9
783,4
784,3
785,3
786,9
787,8
788,9
789,8
790,5
791,3
792,5
793,6
794,4
795,5
796,5
797,3
798,3
799,6
800,6
801,7
802,6
803,4
804,2
805,4
806,6
807,1
808,2
809,4
810,6
811,5
812,5
813,6
814,7
815,4
816,8
817,5
818,10
819,2
820,5
821,8
822,5
823,6
824,5
825,7
826,8
827,6
828,5
829,1
830,3
831,3
832,4
833,1
834,6
835,2
836,6
837,4
838,2
839,4
840,6
841,3
842,5
843,2
844,10
845,7
846,7
847,3
848,6
849,0
850,4
851,5
852,4
853,6
854,2
855,3
856,3
857,4
858,8
859,5
860,4
861,7
862,3
863,4
864,5
865,4
866,3
867,6
868,7
869,4
870,5
871,8
872,5
873,3
874,8
875,5
876,6
877,6
878,5
879,6
880,5
881,8
882,7
883,8
884,7
885,3
886,10
887,5
888,8
889,4
890,11
891,3
892,6
893,4
894,3
895,1
896,8
897,7
898,5
899,5
900,9
901,9
902,6
903,6
904,3
905,8
906,3
907,4
908,4
909,3
910,7
911,8
912,5
913,1
914,5
915,1
916,3
917,5
918,6
919,4
920,4
921,2
922,7
923,6
924,8
925,5
926,5
927,7
928,5
929,11
930,2
931,3
932,3
933,1
934,4
935,7
936,3
937,8
938,8
939,5
940,4
941,2
942,9
943,1
944,4
945,2
946,6
947,5
948,6
949,6
950,7
951,6
952,4
953,2
954,9
955,3
956,8
957,5
958,3
959,6
960,6
961,3
962,8
963,6
964,8
965,5
966,2
967,8
968,5
969,4
970,5
971,6
972,3
973,5
974,5
975,7
976,3
977,5
978,3
979,5
980,2
981,7
982,6
983,4
984,8
985,5
986,4
987,8
988,4
989,3
990,6
991,5
992,5
993,8
994,5
995,4
996,5
997,4
998,9
999,3
1000,6
1001,4
1002,8
1003,8
1004,5
1005,7
1006,2
1007,6
1008,6
1009,5
1010,4
1011,6
1012,3
1013,3
1014,7
1015,6
1016,4
1017,3
1018,6
1019,9
1020,7
1021,6
1022,6
1023,3
1024,4
1025,6
1026,3
1027,6
1028,4
1029,5
1030,5
1031,11
1032,5
1033,7
1034,6
1035,6
1036,3
1037,6
1038,2
1039,7
1040,5
1041,4
1042,4
1043,3
1044,4
1045,2
1046,7
1047,5
1048,6
1049,3
1050,0
1051,8
1052,3
1053,5
1054,4
1055,6
1056,5
1057,3
1058,6
1059,4
1060,4
1061,7
1062,11
1063,11
1064,3
1065,4
1066,2
1067,3
1068,7
1069,7
1070,3
1071,3
1072,3
1073,4
1074,3
1075,2
1076,9
1077,8
1078,6
1079,4
1080,8
1081,1
1082,3
1083,4
1084,11
1085,2
1086,2
1087,4
1088,5
1089,4
1090,6
1091,5
1092,8
1093,9
1094,3
1095,12
1096,3
1097,5
1098,10
1099,7
1100,12
1101,7
1102,8
1103,2
1104,11
1105,5
1106,3
1107,3
1108,3
1109,7
1110,4
1111,7
1112,1
1113,5
1114,4
1115,1
1116,6
1117,6
1118,6
1119,4
1120,5
1121,10
1122,4
1123,2
1124,2
1125,5
1126,2
1127,3
1128,5
1129,6
1130,9
1131,3
1132,6
1133,5
1134,6
1135,10
1136,10
1137,3
1138,6
1139,4
1140,3
1141,5
1142,4
1143,6
1144,3
1145,10
1146,4
1147,4
1148,9
1149,5
1150,2
1151,2
1152,3
1153,5
1154,5
1155,5
1156,5
1157,8
1158,11
1159,6
1160,6
1161,4
1162,5
1163,10
1164,7
1165,9
1166,5
1167,3
1168,5
1169,3
1170,4
1171,7
1172,4
1173,4
1174,13
1175,3
1176,6
1177,2
1178,11
1179,6
1180,7
1181,4
1182,7
1183,4
1184,6
1185,2
1186,3
1187,8
1188,5
1189,7
1190,5
1191,1
1192,3
1193,5
1194,5
1195,5
1196,7
1197,4
1198,3
1199,6
1200,3
1201,2
1202,1
1203,5
1204,5
1205,7
1206,5
1207,3
1208,3
1209,4
1210,5
1211,9
1212,2
1213,2
1214,4
1215,3
1216,9
1217,3
1218,6
1219,5
1220,7
1221,3
1222,5
1223,9
1224,5
1225,8
1226,5
1227,3
1228,7
1229,7
1230,8
1231,6
1232,10
1233,6
1234,6
1235,6
1236,3
1237,7
1238,3
1239,10
1240,3
1241,10
1242,4
1243,3
1244,5
1245,6
1246,5
1247,7
1248,7
1249,2
1250,3
1251,5
1252,5
1253,7
1254,5
1255,2
1256,5
1257,4
1258,3
1259,4
1260,4
1261,4
1262,1
1263,7
1264,7
1265,8
1266,6
1267,5
1268,5
1269,5
1270,6
1271,4
1272,8
1273,8
1274,1
1275,2
1276,4
1277,4
1278,3
1279,8
1280,7
1281,5
1282,6
1283,1
1284,1
1285,5
1286,5
1287,6
1288,6
1289,3
1290,5
1291,4
1292,5
1293,2
1294,2
1295,1
1296,4
1297,3
1298,2
1299,7
1300,6
1301,1
1302,3
1303,5
1304,3
1305,6
1306,6
1307,7
1308,5
1309,5
1310,2
1311,5
1312,7
1313,2
1314,7
1315,6
1316,4
1317,5
1318,7
1319,4
1320,4
1321,4
1322,5
1323,5
1324,7
1325,3
1326,3
1327,4
1328,7
1329,7
1330,4
1331,3
1332,4
1333,6
1334,4
1335,5
1336,3
1337,3
1338,6
1339,9
1340,6
1341,4
1342,5
1343,5
1344,8
1345,6
1346,8
1347,6
1348,4
1349,4
1350,9
1351,6
1352,3
1353,4
1354,5
1355,4
1356,6
1357,4
1358,5
1359,2
1360,6
1361,12
1362,7
1363,3
1364,1
1365,7
1366,5
1367,8
1368,6
1369,6
1370,8
1371,3
1372,6
1373,4
1374,3
1375,3
1376,6
1377,3
1378,3
1379,6
1380,7
1381,4
1382,3
1383,7
1384,7
1385,7
1386,7
1387,8
1388,4
1389,9
1390,6
1391,4
1392,3
1393,3
1394,4
1395,8
1396,7
1397,3
1398,2
1399,7
1400,4
1401,6
1402,5
1403,7
1404,3
1405,6
1406,4
1407,4
1408,5
1409,7
1410,5
1411,8
1412,5
1413,2
1414,7
1415,3
1416,6
1417,3
1418,7
1419,9
1420,2
1421,5
1422,5
1423,8
1424,4
1425,4
1426,5
1427,5
1428,2
1429,6
1430,6
1431,4
1432,10
1433,6
1434,6
1435,4
1436,10
1437,6
1438,1
1439,3
1440,1
1441,7
1442,8
1443,3
1444,3
1445,5
1446,6
1447,7
1448,7
1449,5
1450,5
1451,2
1452,4
1453,4
1454,4
1455,5
1456,5
1457,2
1458,4
1459,4
1460,3
1461,4
1462,6
1463,5
1464,5
1465,7
1466,6
1467,3
1468,10
1469,5
1470,2
1471,2
1472,4
1473,3
1474,7
1475,5
1476,4
1477,5
1478,7
1479,9
1480,8
1481,4
1482,1
1483,7
1484,3
1485,7
1486,2
1487,7
1488,7
1489,10
1490,4
1491,5
1492,7
1493,6
1494,4
1495,5
1496,6
1497,3
1498,3
1499,4
